angDist,_RAJ2000,_DEJ2000,recno,A,Name,RAJ2000,DEJ2000,amaj,ell,[3.6],[4.5],c31,M3.6,M4.5,logM*,Dmean,TT,Vr,S4G,Simbad,NED,LEDA,_RAJ2000,_DEJ2000,recno,Name,f_Name,RAJ2000,DEJ2000,vlsr,PA,i,Dist,r_Dist,logMstar,f_logMstar,r25,Re,lstar,logSFR,f_logSFR,l_logLCO,logLCO,Corr,logMHI,Res1,Res2,S4G,L19,Ntot,N7m,N12m,Simbad,LEDA
0.435999,165.85572,18.1355,867,,NGC3507,165.85572,18.1355,114.0,0.075,11.08,11.555,3.305,-19.914,-19.438,10.127,15.8,3.1,979.1,S4G,Simbad,NED,LEDA,165.855833,18.135556,38,NGC3507,,11 03 25.4,+18 08 08,969.4,55.8,21.7,23.55,"    2",10.4,I,10.0,3.7,2.3,0.0,FUVW4,,8.34,1.17,9.32,1.36,155.2,1,1,5,5,1,Simbad,LEDA
0.185451,165.84921,-23.0867,869,,NGC3511,165.84921,-23.0867,204.0,0.634,10.555,10.956,3.258,-20.218,-19.817,10.194,14.277,5.1,1106.3,S4G,Simbad,NED,LEDA,165.849167,-23.086667,37,NGC3511,,11 03 23.8,-23 05 12,1096.7,256.8,75.1,13.94,"  3,4",10.03,I,12.2,4.4,2.4,-0.09,FUVW4,,8.15,1.07,9.37,1.8,121.5,1,1,6,5,2,Simbad,LEDA
0.503344,166.45241,-0.03594,872,,NGC3521,166.45241,-0.03594,411.3,0.434,8.202,8.656,3.92,-22.208,-21.754,11.03,12.078,4.0,800.4,S4G,Simbad,NED,LEDA,166.4525,-0.035833,39,NGC3521,,11 05 48.6,-00 02 09,798.0,343.0,68.8,13.24,"    2",11.03,I,16.0,3.9,4.9,0.57,FUVW4,,8.98,1.18,9.83,1.33,85.5,1,1,16,12,7,Simbad,LEDA
0.420044,168.77582,14.78706,882,,NGC3596,168.77582,14.78706,112.4,0.076,11.164,11.581,3.002,-19.781,-19.363,10.032,15.45,5.2,1192.5,S4G,Simbad,NED,LEDA,168.775833,14.786944,40,NGC3596,,11 15 06.2,+14 47 13,1187.9,78.4,25.1,11.3,"    6",9.66,I,6.0,1.6,2.0,-0.52,NUVW4,,7.81,1.13,8.85,1.22,66.9,1,1,9,3,1,Simbad,LEDA
0.907728,168.86233,18.11037,883,A,NGC3599,168.86233,18.11037,96.3,0.121,11.812,12.304,7.704,-19.656,-19.164,10.036,19.657,-2.0,,S4G,Simbad,NED,LEDA,168.862083,18.110278,41,NGC3599,X,11 15 26.9,+18 06 37,836.8,41.9,23.0,19.86," 2,13",10.04,I,6.9,1.7,2.0,-1.35,FUVW4,<,6.7,1.35,,0.66,63.2,1,1,3,5,1,Simbad,LEDA
0.299347,65.00156,-54.938,893,,NGC1566,65.00156,-54.938,263.1,0.146,9.32,9.762,4.086,-21.117,-20.676,10.584,12.234,4.0,1502.4,S4G,Simbad,NED,LEDA,65.001667,-54.938056,20,NGC1566,,04 20 00.4,-54 56 17,1483.3,214.7,29.5,17.69,"    7",10.79,I,18.6,3.2,3.9,0.66,FUVW4,,8.89,1.22,9.8,1.25,107.6,1,1,29,10,2,Simbad,LEDA
0.427534,70.36743,-2.85796,897,,NGC1637,70.36743,-2.85796,156.7,0.277,10.561,11.027,3.147,-19.587,-19.121,9.99,10.703,5.0,715.2,S4G,Simbad,NED,LEDA,70.3675,-2.858056,21,NGC1637,,04 41 28.2,-02 51 29,698.9,20.6,31.1,11.7,"   10",9.95,I,5.4,2.8,1.8,-0.2,W4ONLY,,7.98,1.1,9.2,1.39,78.9,1,1,9,5,4,Simbad,LEDA
0.248304,71.42701,-59.24728,899,,NGC1672,71.42701,-59.24728,235.4,0.074,9.355,9.72,11.092,-21.452,-21.087,10.661,14.5,3.3,1335.2,S4G,Simbad,NED,LEDA,71.427083,-59.247222,22,NGC1672,,04 45 42.5,-59 14 50,1318.3,134.3,42.6,19.4,"  3,4",10.73,I,17.4,3.4,5.8,0.88,FUVW4,,9.05,1.25,10.21,1.93,181.7,1,1,10,3,1,Simbad,LEDA
1.158127,76.30999,-37.98058,905,,NGC1792,76.30999,-37.98058,186.5,0.444,9.437,9.835,2.445,-21.166,-20.768,10.571,13.2,4.0,1210.0,S4G,Simbad,NED,LEDA,76.309583,-37.980556,24,NGC1792,,05 05 14.3,-37 58 50,1175.9,318.9,65.1,16.2,"  3,4",10.62,I,13.1,4.1,2.4,0.57,FUVW4,,8.95,1.11,9.25,1.92,150.9,0,1,13,8,3,Simbad,LEDA
0.410023,75.52059,-69.56798,908,,NGC1809,75.52059,-69.56798,162.9,0.694,12.349,12.753,2.972,-18.488,-18.083,9.504,14.7,5.0,1301.4,S4G,Simbad,NED,LEDA,75.520833,-69.568056,23,NGC1809,,05 02 05.0,-69 34 05,1290.4,138.2,57.6,19.95,"    2",9.77,I,10.9,4.5,2.4,0.76,NUVW4,,7.49,4.24,9.6,1.41,136.0,1,1,2,2,1,Simbad,LEDA
